volatile acidity,citric acid,density,sulphates,alcohol,quality
0.7,0.0,0.9978,0.56,9.4,5.0
0.88,0.0,0.9968,0.68,9.8,5.0
0.76,0.04,0.997,0.65,9.8,5.0
0.28,0.56,0.998,0.58,9.8,6.0
0.66,0.0,0.9978,0.56,9.4,5.0
0.6,0.06,0.9964,0.46,9.4,5.0
0.65,0.0,0.9946,0.47,10.0,7.0
0.58,0.02,0.9968,0.57,9.5,7.0
0.58,0.08,0.9959,0.54,9.2,5.0
0.615,0.0,0.9943,0.52,9.9,5.0
0.28,0.56,0.9969,0.75,10.5,7.0
0.22,0.48,0.9968,0.53,9.4,6.0
0.39,0.31,0.9982,0.65,9.7,5.0
0.43,0.21,0.9966,0.91,9.5,5.0
0.49,0.11,0.9968,0.53,9.4,5.0
0.4,0.14,0.9968,0.63,9.7,6.0
0.39,0.16,0.9955,0.56,9.3,5.0
0.41,0.24,0.9962,0.59,9.5,5.0
0.71,0.0,0.9972,0.55,9.4,5.0
0.645,0.0,0.9964,0.59,9.8,6.0
0.675,0.07,0.9958,0.54,10.1,5.0
0.685,0.0,0.9966,0.57,10.6,6.0
0.655,0.12,0.9966,0.66,9.8,5.0
0.32,0.25,0.9957,0.55,9.2,5.0
0.6,0.14,0.9975,0.6,10.8,6.0
0.38,0.28,0.9968,0.73,9.7,7.0
0.61,0.3,0.9976,0.51,9.3,4.0
0.67,0.02,0.9962,0.52,9.5,5.0
0.935,0.43,0.997,0.73,9.2,5.0
0.29,0.52,0.9969,0.58,9.5,5.0
0.4,0.23,0.9958,0.56,9.2,5.0
0.31,0.37,0.9954,0.58,9.2,5.0
0.66,0.26,0.9971,0.74,9.2,5.0
0.52,0.04,0.9956,0.63,9.4,6.0
0.5,0.04,0.9955,0.64,9.4,6.0
0.38,0.36,0.997,0.56,9.4,5.0
0.51,0.15,0.9955,0.63,10.2,6.0
0.42,0.57,0.9971,0.63,9.6,5.0
0.59,0.18,0.9975,0.59,10.0,5.0
0.39,0.31,0.9962,0.54,9.4,6.0
0.4,0.4,0.998,0.64,9.2,5.0
0.69,0.49,0.9968,0.71,9.3,5.0
0.52,0.16,0.9968,0.62,9.5,7.0
0.735,0.05,0.9966,0.57,9.8,5.0
0.52,0.11,0.9968,0.58,9.6,5.0
0.705,0.07,0.9962,0.58,10.7,5.0
0.32,0.57,0.9969,0.79,10.7,5.0
0.705,0.05,0.9962,0.95,10.5,6.0
0.63,0.08,0.9967,0.54,9.5,6.0
0.67,0.23,0.9962,0.48,9.5,5.0
0.69,0.22,0.9961,0.48,9.5,5.0
0.675,0.26,0.9976,0.53,9.2,4.0
0.32,0.54,0.9984,0.82,9.6,5.0
0.41,0.64,0.9986,0.66,10.5,5.0
0.785,0.0,0.9966,0.55,10.7,6.0
0.75,0.12,0.9958,0.52,10.1,5.0
0.45,0.2,0.9958,0.56,9.2,5.0
0.5,0.47,0.997,0.57,9.1,5.0
0.3,0.48,0.9959,0.78,10.3,6.0
0.55,0.15,0.9961,0.59,10.1,5.0
0.49,0.26,0.9966,0.64,9.6,5.0
0.62,0.08,0.9978,0.53,9.0,5.0
0.775,0.0,0.9965,0.56,10.7,5.0
0.5,0.25,0.9963,0.63,9.2,5.0
0.9,0.06,0.9967,0.56,9.8,5.0
0.545,0.18,0.9972,0.59,9.0,6.0
0.61,0.3,0.9972,0.61,10.2,6.0
0.5,0.3,0.9959,0.56,10.4,6.0
0.575,0.22,0.9967,0.51,9.2,5.0
0.49,0.24,0.996,0.48,9.4,5.0
0.63,0.31,0.9969,0.79,9.3,5.0
0.33,0.53,0.9976,0.8,9.6,6.0
0.56,0.19,0.9964,0.93,9.5,5.0
0.62,0.09,0.9964,0.66,9.8,5.0
0.6,0.1,0.9964,0.66,9.8,5.0
0.31,0.44,0.9988,0.67,9.7,6.0
0.4,0.31,0.9966,0.63,10.5,6.0
0.54,0.28,0.9978,0.61,10.0,6.0
0.56,0.12,0.997,0.5,9.4,6.0
0.55,0.04,0.9962,0.6,10.9,6.0
0.69,0.08,0.9959,0.54,9.2,6.0
0.695,0.0,0.998,0.52,9.2,5.0
0.71,0.0,0.9976,0.53,9.5,5.0
0.5,0.17,0.996,0.48,9.5,5.0
0.59,0.16,0.9962,0.92,10.5,7.0
0.38,0.15,0.9955,0.57,9.4,5.0
0.5,0.09,0.9937,0.63,13.0,5.0
0.5,0.01,0.9952,0.58,9.8,6.0
0.745,0.11,0.9965,0.82,9.6,5.0
0.715,0.15,0.9968,0.77,9.5,5.0
0.415,0.36,0.9972,0.64,9.2,5.0
0.56,0.19,0.9962,0.54,9.5,5.0
0.56,0.19,0.9962,0.54,9.5,5.0
0.39,0.08,0.9954,0.58,9.4,5.0
0.68,0.02,0.9944,0.52,10.0,5.0
0.49,0.1,0.9959,0.58,10.2,6.0
0.4,0.44,0.9975,0.61,10.5,6.0
0.33,0.47,0.9958,0.53,10.3,6.0
0.6,0.03,0.995,0.54,10.1,5.0
0.68,0.0,0.9969,0.5,9.3,5.0
0.6,0.18,0.9968,0.57,9.3,6.0
0.95,0.03,0.9959,0.56,9.6,5.0
0.53,0.04,0.9964,0.56,10.0,6.0
0.63,0.48,0.9961,0.62,9.5,5.0
0.64,0.1,0.9956,0.52,10.2,5.0
0.55,0.03,0.9956,0.48,9.0,4.0
0.63,0.07,0.9953,0.55,10.4,6.0
0.885,0.03,0.9972,0.33,9.1,4.0
0.42,0.17,0.9972,0.61,9.2,6.0
0.62,0.05,0.9961,0.57,11.5,6.0
0.38,0.21,0.9961,0.47,9.5,5.0
0.5,0.04,0.9958,0.78,9.5,5.0
0.52,0.42,0.9972,0.61,10.5,6.0
0.805,0.0,0.9969,0.56,9.6,5.0
0.61,0.14,0.9969,0.59,9.5,5.0
0.73,0.02,0.9972,0.52,9.3,5.0
0.61,0.2,0.9971,0.58,9.3,5.0
0.62,0.21,0.997,0.58,9.3,6.0
0.31,0.57,0.9971,0.53,9.7,5.0
0.39,0.48,0.9972,0.55,9.2,5.0
0.705,0.1,0.9976,0.49,9.7,5.0
0.37,0.25,0.9974,0.62,9.8,6.0
0.55,0.21,0.9964,0.55,9.7,5.0
0.59,0.33,0.9968,0.54,9.4,5.0
0.58,0.3,0.9968,0.59,10.2,5.0
0.3,0.6,0.9981,0.97,10.1,6.0
0.835,0.08,0.9924,0.85,13.0,7.0
0.32,0.47,0.99695,0.82,10.3,7.0
0.5,0.11,0.99545,0.79,9.5,5.0
0.42,0.35,0.9961,0.55,9.2,5.0
0.43,0.36,0.99615,0.56,9.2,6.0
0.57,0.31,0.99625,0.53,9.3,5.0
0.44,0.28,0.9966,0.67,9.4,5.0
0.3,0.58,0.998,0.88,10.5,7.0
0.53,0.6,0.99585,0.86,12.4,6.0
0.725,0.24,0.99685,0.56,10.0,6.0
0.44,0.64,0.998,0.67,10.2,6.0
0.57,0.26,0.9959,0.43,10.1,5.0
0.735,0.08,0.9974,0.71,9.8,6.0
0.625,0.16,0.9962,0.57,11.0,5.0
0.725,0.22,0.9967,0.55,9.1,5.0
0.49,0.19,0.9957,0.54,9.7,5.0
0.34,0.37,0.9964,0.59,9.4,6.0
0.53,0.26,0.9957,0.57,9.4,5.0
0.61,0.04,0.99525,0.6,9.5,5.0
0.645,0.25,0.99815,0.6,10.0,6.0
0.635,0.36,0.99745,0.57,10.4,4.0
0.43,0.25,0.99615,0.58,10.5,6.0
0.82,0.14,0.9984,0.63,9.8,5.0
0.52,0.25,0.99685,0.5,11.0,5.0
0.48,0.04,0.9927,0.62,12.2,7.0
0.38,0.06,0.99625,0.52,9.9,6.0
0.37,0.2,0.998,0.7,9.6,6.0
1.0,0.09,0.99685,0.55,9.0,6.0
0.63,0.0,0.99675,0.58,9.0,6.0
0.645,0.0,0.99675,0.58,9.2,6.0
0.38,0.56,0.99925,0.71,10.9,6.0
0.58,0.1,0.99565,0.49,9.8,6.0
0.66,0.0,0.9983,0.96,9.9,6.0
0.68,0.07,0.99685,0.52,9.5,5.0
0.6,0.17,0.9963,0.45,9.3,5.0
0.53,0.06,0.99615,0.48,9.8,6.0
0.32,0.44,0.9985,0.78,10.0,6.0
0.6,0.0,0.9972,0.7,9.9,6.0
0.35,0.48,0.9986,0.53,10.5,5.0
0.775,0.42,0.9959,0.59,9.5,5.0
0.57,0.23,0.99675,0.57,9.3,5.0
0.34,0.37,0.998,0.62,9.2,5.0
0.695,0.0,0.9968,0.67,9.2,5.0
0.31,0.47,0.99965,0.8,10.5,7.0
0.33,0.23,0.99625,0.65,9.3,5.0
0.975,0.04,0.99565,0.6,9.4,4.0
0.52,0.03,0.99575,0.57,10.0,5.0
0.37,0.23,0.9963,0.67,9.3,5.0
0.26,0.52,0.9968,0.72,10.2,7.0
0.87,0.0,1.00025,0.72,9.8,4.0
0.715,0.2,0.99735,0.64,9.4,5.0
0.26,0.44,0.9986,0.82,9.3,6.0
0.52,0.12,0.9971,0.57,9.1,5.0
0.59,0.07,1.00015,0.71,9.8,5.0
0.45,0.55,0.9997,0.76,10.3,6.0
0.4,0.12,0.9967,0.7,10.3,6.0
0.52,0.09,0.9976,0.86,10.6,7.0
0.42,0.53,1.001,0.95,9.2,5.0
0.55,0.23,0.9994,0.64,10.3,6.0
0.36,0.25,0.9964,0.6,10.1,6.0
0.5,0.46,1.0001,0.64,9.5,5.0
0.83,0.37,0.9981,0.52,9.9,5.0
0.63,0.06,0.99855,0.73,9.6,5.0
0.65,0.02,0.9993,0.8,9.7,5.0
0.67,0.06,0.99845,0.71,9.6,5.0
0.53,0.06,0.9965,0.59,10.7,6.0
0.18,0.48,0.9973,0.64,10.1,6.0
0.705,0.12,0.9994,0.72,10.0,5.0
0.65,0.6,0.9973,0.52,9.2,5.0
0.53,0.48,0.9998,0.59,9.3,6.0
0.62,0.32,0.9966,0.52,9.4,5.0
0.29,0.38,0.9968,0.53,9.5,6.0
0.53,0.24,0.996,0.54,9.4,6.0
0.46,0.31,0.99815,0.63,9.5,6.0
0.36,0.29,0.99645,0.68,11.0,5.0
0.35,0.29,0.9962,0.65,11.0,6.0
0.56,0.23,0.9996,0.65,10.1,5.0
0.77,0.12,0.99865,0.64,10.4,6.0
0.66,0.39,0.9989,0.71,11.5,7.0
0.61,0.26,0.99975,0.62,9.7,5.0
0.62,0.05,0.99735,0.63,9.3,5.0
0.59,0.42,0.999,0.7,9.5,6.0
0.53,0.66,0.9978,0.74,11.5,7.0
0.46,0.39,0.9981,0.62,9.5,5.0
0.36,0.64,0.998,0.66,12.5,6.0
0.58,0.28,0.9973,0.54,9.4,6.0
0.56,0.08,0.9958,0.52,11.0,5.0
0.65,0.01,0.9963,0.74,11.7,7.0
0.43,0.45,0.9948,0.7,12.5,6.0
0.43,0.32,0.9974,0.64,10.3,5.0
0.42,0.48,0.9972,0.87,11.3,6.0
0.39,0.47,0.9982,0.75,9.8,6.0
0.57,0.5,1.0006,0.78,10.7,6.0
0.685,0.0,0.9979,0.81,9.9,5.0
0.815,0.02,0.9955,0.89,12.3,7.0
0.56,0.31,0.9979,0.92,10.0,6.0
0.785,0.0,0.9994,0.86,9.4,6.0
0.67,0.22,1.0004,0.98,9.9,6.0
0.795,0.0,0.9994,0.83,9.4,6.0
0.665,0.0,0.9974,0.73,9.3,5.0
0.75,0.01,0.9955,0.61,12.8,6.0
0.41,0.52,1.0001,0.88,11.0,5.0
0.42,0.66,0.997,0.75,11.7,7.0
0.43,0.66,1.0,0.85,10.4,7.0
0.7,0.23,0.9973,0.7,9.4,5.0
0.45,0.31,0.9982,0.91,9.9,6.0
0.58,0.66,0.9992,0.56,10.0,5.0
0.42,0.5,0.9979,0.93,11.8,6.0
0.575,0.61,1.0,0.69,9.0,5.0
0.765,0.02,0.9975,0.78,9.9,5.0
